hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,cbd_congestion_fee,id
HV0003,B03404,B03404,4/10/25 13:53,4/10/25 13:55,4/10/25 13:55,4/10/25 14:09,9,92,3.13,813,22.74,0,0.59,2.11,0,0,2.64,12.61,N,N,N,N,N,0,1
HV0005,B03406,B03406,1/27/25 9:27,1/27/25 9:32,1/27/25 9:33,1/27/25 9:40,256,217,0.395,468,8.79,0,0.24,0.78,0,0,0,20.47,N,N,N,Y,Y,0,2
HV0003,B03404,B03404,3/27/25 18:43,3/27/25 18:45,3/27/25 18:47,3/27/25 19:06,163,186,1.72,1098,27.17,0,0.64,2.4,2.75,0,0,13.51,N,N,N,N,N,1.5,3
HV0003,B03404,B03404,4/9/25 8:07,4/9/25 8:10,4/9/25 8:10,4/9/25 8:41,63,130,6.62,1888,30.5,0,0.76,2.7,0,0,5.09,29.64,N,N,N,N,N,0,4
HV0005,B03406,,2/11/25 19:38,,2/11/25 19:43,2/11/25 19:57,100,237,1.927,858,17.53,0,0.44,1.56,2.75,0,0,11,N,N,N,N,N,1.5,5
HV0003,B03404,B03404,2/2/25 9:15,2/2/25 9:19,2/2/25 9:19,2/2/25 9:34,139,131,3.48,884,17.6,0,0.44,1.56,0,0,0,13.32,N,N,N,N,N,0,6
HV0003,B03404,B03404,2/1/25 21:54,2/1/25 22:00,2/1/25 22:02,2/1/25 22:19,230,230,0.63,1037,12.21,0,0.27,1.08,2.75,0,0,11.68,N,N,N,N,Y,1.5,7
HV0003,B03404,B03404,2/25/25 13:53,2/25/25 13:56,2/25/25 13:56,2/25/25 14:22,145,237,3.63,1529,24.62,0,0.66,2.33,2.75,0,0,19.79,N,N,N,N,N,0,8
HV0005,B03406,,2/25/25 13:36,,2/25/25 13:40,2/25/25 14:05,213,24,6.986,1490,29.16,3.96,0.83,2.94,0,0,0,24.07,N,N,N,N,N,0,9
HV0003,B03404,B03404,3/13/25 11:38,3/13/25 11:39,3/13/25 11:40,3/13/25 12:03,243,74,6.36,1397,21.16,0,0.56,2.01,0,0,0,23.07,N,N,N,N,N,0,10
HV0003,B03404,B03404,5/28/25 21:14,5/28/25 21:23,5/28/25 21:23,5/28/25 21:27,161,162,0.45,243,39.35,0,1.01,3.71,2.75,0,0,20.32,N,N,N,N,N,1.5,11
HV0003,B03404,B03404,5/2/25 13:31,5/2/25 13:34,5/2/25 13:34,5/2/25 13:50,175,92,6.79,955,14.55,0,0.37,1.28,0,0,0,23.15,N,N,N,N,Y,0,12
HV0005,B03406,,5/23/25 18:57,5/23/25 18:58,5/23/25 18:59,5/23/25 19:02,116,152,0.6,229,5.65,0,0.14,0.5,0,0,0,4,N,N,N,N,N,0,13
HV0003,B03404,B03404,1/16/25 20:04,1/16/25 20:06,1/16/25 20:08,1/16/25 20:15,167,159,1.24,459,10.73,0,0.29,0.96,0,0,0,6.15,N,N,N,N,N,0,14
HV0003,B03404,B03404,5/5/25 13:30,5/5/25 13:33,5/5/25 13:35,5/5/25 13:57,60,174,3.64,1318,21.5,0,0.58,2.03,0,0,0,18.43,N,N,N,N,N,0,15
HV0003,B03404,B03404,4/15/25 14:54,4/15/25 14:56,4/15/25 14:56,4/15/25 15:04,255,112,1.26,476,13.42,0,0.33,1.18,0,0,0,6.74,N,N,N,N,N,0,16
HV0003,B03404,B03404,3/13/25 19:44,3/13/25 19:52,3/13/25 19:54,3/13/25 20:11,230,145,3.19,1030,20.14,0,0.46,1.79,2.75,0,0,14.89,N,N,N,N,N,1.5,17
HV0005,B03406,,4/15/25 17:38,4/15/25 17:40,4/15/25 17:41,4/15/25 18:06,127,247,4.846,1523,20.66,0,0.46,1.63,0,0,0,22.29,N,N,N,N,N,0,18
HV0003,B03404,B03404,3/25/25 17:23,3/25/25 17:24,3/25/25 17:25,3/25/25 17:34,47,169,1.05,542,11.79,0,0.31,1.11,0,0,0,6.95,N,N,N,N,N,0,19
HV0003,B03404,B03404,2/7/25 9:55,2/7/25 9:58,2/7/25 9:58,2/7/25 10:57,236,265,43.43,3533,181.54,8.69,4.54,0,0,0,0,104.64,N,N,N,N,N,0,20
HV0005,B03406,,3/12/25 10:03,3/12/25 10:05,3/12/25 10:06,3/12/25 10:19,197,102,3.21,806,17.05,0,0.43,1.51,0,0,0,12.71,N,N,N,N,N,0,21
HV0003,B03404,B03404,5/22/25 10:23,5/22/25 10:25,5/22/25 10:26,5/22/25 10:50,164,138,9.8,1483,74.97,6.94,1.83,7.48,2.75,2.5,1,36.8,N,N,N,N,N,1.5,22
HV0003,B03404,B03404,2/8/25 6:42,2/8/25 6:45,2/8/25 6:45,2/8/25 6:51,234,100,1.61,383,11.03,0,0.24,0.98,2.75,0,0,6.55,N,N,N,N,Y,1.5,23
HV0005,B03406,,1/9/25 13:40,,1/9/25 13:41,1/9/25 13:58,234,231,2.517,988,19.12,0,0.53,1.7,2.75,0,0,13.07,N,N,N,N,N,1.5,24
HV0003,B03404,B03404,1/10/25 20:50,1/10/25 20:51,1/10/25 20:51,1/10/25 20:57,113,107,1.04,371,11.87,0,0.28,1.06,2.75,0,0,5.19,N,N,N,N,N,1.5,25
HV0003,B03404,B03404,5/22/25 15:30,5/22/25 15:34,5/22/25 15:34,5/22/25 16:05,50,146,4.75,1850,49.02,0,1.19,4.34,2.75,0,0,28.37,N,N,N,N,N,1.5,26
HV0005,B03406,,4/14/25 20:55,4/14/25 20:59,4/14/25 20:59,4/14/25 21:06,82,83,0.716,397,5.93,0,0.15,0.53,0,0,0,5.04,N,N,N,N,N,0,27
HV0003,B03404,B03404,1/11/25 14:35,1/11/25 14:39,1/11/25 14:41,1/11/25 15:22,138,48,12.35,2474,70.1,6.94,1.95,7.06,2.75,2.5,0,41.47,N,N,N,N,N,1.5,28
HV0005,B03406,,2/16/25 18:19,,2/16/25 18:23,2/16/25 18:51,76,102,4.642,1676,23.53,0,0.52,1.86,0,0,0,22.68,N,N,N,N,N,0,29
HV0003,B03404,B03404,5/26/25 0:48,5/26/25 0:53,5/26/25 0:54,5/26/25 1:24,100,225,8.57,1848,44.93,6.94,1.08,4.59,2.75,0,0,34.76,N,N,N,N,N,1.5,30
HV0005,B03406,,1/6/25 19:57,,1/6/25 20:04,1/6/25 20:55,13,216,13.853,3099,59.14,0.11,1.57,5.06,2.75,0,0,49.13,N,N,N,N,N,1.5,31
HV0003,B03404,B03404,1/30/25 18:37,1/30/25 18:40,1/30/25 18:41,1/30/25 18:59,89,26,2.61,1099,18.19,0,0.5,1.61,0,0,3.04,14.23,N,N,N,N,N,0,32
HV0005,B03406,,5/9/25 5:09,5/9/25 5:17,5/9/25 5:18,5/9/25 5:20,3,3,0.378,133,6.47,0,0.16,0.57,0,0,0,4,N,N,N,N,N,0,33
HV0003,B03404,B03404,3/7/25 20:54,3/7/25 20:56,3/7/25 20:57,3/7/25 21:19,71,76,4.76,1301,26.12,0,0.69,2.43,0,0,0,19.84,N,N,N,N,N,0,34
